title,body,rating,review_date,reviewer_name,reviewer_email,product_id,product_handle,reply,picture_urls
"Bra produkt","Väldigt bra överdrag. Passar min IBC-tank perfekt och är enkelt att sätta på.","5","2026-08-10","Anders","","","ibc-tankoverdraget","",""
"Bra produkt","Jag är nöjd. Nu slipper jag mycket solljus på tanken och det ser även snyggare ut.","5","2026-08-11","Maria","","","ibc-tankoverdraget","",""
"Bra produkt","Bra kvalitet och lätt att använda. Passade min 1000 liters tank utan problem.","5","2026-08-12","Johan","","","ibc-tankoverdraget","",""
"Bra produkt","Köpte detta för min regnvattentank. Fungerar bra och är enkelt att öppna när jag behöver.","5","2026-08-13","Lena","","","ibc-tankoverdraget","",""
"Bra produkt","Ett enkelt och praktiskt överdrag. Jag är väldigt nöjd med köpet.","5","2026-08-14","Peter","","","ibc-tankoverdraget","",""
"Bra produkt","Passar bra på tanken och skyddar mot solen. Precis vad jag behövde.","5","2026-08-15","Sofia","","","ibc-tankoverdraget","",""
"Bra produkt","Bra material och känns stabilt. Lätt att montera på tanken.","5","2026-08-16","Magnus","","","ibc-tankoverdraget","",""
"Bra produkt","Mycket nöjd. Tanken ser mycket bättre ut och överdraget sitter bra.","4","2026-08-17","Emma","","","ibc-tankoverdraget","",""
"Bra produkt","Bra produkt för pengarna. Passar min IBC-tank och är enkel att använda.","4","2026-08-18","Daniel","","","ibc-tankoverdraget","",""
"Bra produkt","Fungerar precis som jag hade hoppats. Bra skydd för min tank utomhus.","4","2026-08-19","Karin","","","ibc-tankoverdraget","",""
