title,body,rating,review_date,reviewer_name,reviewer_email,product_id,product_handle,reply,picture_urls
"Bra adventskalender","Bra adventskalender. Rolig idé med en bil bakom varje lucka. Väldigt uppskattad här hemma.","5","2026-09-08","Peter","","","adventskalender-racingbilar","",""
"Supernöjd","Supernöjd. Barnen älskar att öppna luckorna. Bilarna blev snabbt favoriter.","5","2026-09-08","Sofia","","","adventskalender-racingbilar","",""
"Praktisk och kul","Praktisk och kul. En rolig julkalender som gav mycket glädje varje morgon.","5","2026-09-08","Daniel","","","adventskalender-racingbilar","",""
"Jättebra","Jättebra. Fina små bilar och enkel kalender. Barnen tycker den är rolig.","5","2026-09-08","Maria","","","adventskalender-racingbilar","",""
"Rekommenderas","Rekommenderas. Min dotter gillar den mycket. Hon tycker det är spännande att öppna varje lucka.","5","2026-09-08","Erik","","","adventskalender-racingbilar","",""
"Bra köp","Bra köp. Rolig kalender och ett bra alternativ till godis.","5","2026-09-08","Sara","","","adventskalender-racingbilar","",""
"Nöjd!","Nöjd!. Kalendern var uppskattad här hemma. Bilarna är små och söta.","5","2026-09-08","Linda","","","adventskalender-racingbilar","",""
"Väldigt fin","Väldigt fin. Kul med en ny bil varje dag. Perfekt för barn som gillar bilar.","5","2026-09-08","Emma","","","adventskalender-racingbilar","",""
"Superkul","Superkul. En enkel och rolig adventskalender. Sonen längtar till varje dag.","5","2026-09-08","Johan","","","adventskalender-racingbilar","",""
"Bra julklapp","Bra julklapp. Min son blev jätteglad. Bilarna är roliga och fina.","5","2026-09-08","Anna","","","adventskalender-racingbilar","",""
