title,body,rating,review_date,reviewer_name,reviewer_email,product_id,product_handle,reply,picture_urls
"Bra kamera","Smidig kamera och bra bild. Rekommenderas.","5","2026-08-24","Anders","","","overvakningskameran","",""
"Bra kamera","Jag är väldigt nöjd. Enkel att använda.","5","2026-08-24","Maria","","","overvakningskameran","",""
"Bra kamera","Fungerar riktigt bra och var enkel att installera.","5","2026-08-24","Anna","","","overvakningskameran","",""
"Bra kamera","Lätt att sätta upp och fungerar som den ska.","5","2026-08-24","Emma","","","overvakningskameran","",""
"Bra kamera","Bra kamera för priset. Bilden är tydlig.","5","2026-08-24","Johan","","","overvakningskameran","",""
"Bra kamera","Kameran fungerar bra och bilden är tydlig.","5","2026-08-24","Linda","","","overvakningskameran","",""
"Bra kamera","En bra och prisvärd kamera. Jag är nöjd.","5","2026-08-24","Peter","","","overvakningskameran","",""
"Bra kamera","Mycket nöjd med köpet. Enkel och praktisk.","5","2026-08-24","Sara","","","overvakningskameran","",""
"Bra kamera","Bra kamera och smidigt att kunna följa det som händer.","5","2026-08-24","Lars","","","overvakningskameran","",""
"Bra kamera","Bra kvalitet och enkel app. Fungerar fint.","5","2026-08-24","Daniel","","","overvakningskameran","",""
