title,body,rating,review_date,reviewer_name,reviewer_email,product_id,product_handle,reply,picture_urls
"","Bra skydd för taket och lätt att använda.","5","2026-09-08","Karin","","","takskyddet","",""
"","Jag är nöjd med överdraget. Rekommenderas.","5","2026-09-08","Erik","","","takskyddet","",""
"","Enkel lösning och bra passform.","5","2026-09-08","Linda","","","takskyddet","",""
"","Skyddar husvagnen bra mot regn och smuts.","5","2026-09-08","Anders","","","takskyddet","",""
"","Bra kvalitet och lätt att använda.","5","2026-09-08","Sofia","","","takskyddet","",""
"","Praktiskt överdrag som gör jobbet.","5","2026-09-08","Emma","","","takskyddet","",""
"","Mycket nöjd. Bra skydd när husvagnen står ute.","5","2026-09-08","Johan","","","takskyddet","",""
"","Enkel att sätta på och känns bra.","5","2026-09-08","Maria","","","takskyddet","",""
"","Passar bra och skyddar taket mot väder.","5","2026-09-08","Lars","","","takskyddet","",""
"","Bra skydd för husvagnen. Enkel att använda.","5","2026-09-08","Anna","","","takskyddet","",""
