Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
beaver-coupling-no-more-fiddly-cable-lugs,Beaver Coupling - No More Fiddly Cable Lugs,"<h2 data-start=""133"" data-end=""179"">No More Fiddling With Cables, Once and For All</h2>
<p data-start=""181"" data-end=""324"">Ever been in the middle of a project without the right tool<br data-start=""236"" data-end=""239"">Hunted for cable lugs that don't exist<br data-start=""275"" data-end=""278"">Tried crimping with pliers that just won't do the job</p>
<p data-start=""326"" data-end=""407"">Small electrical jobs should be simple. Yet they often turn needlessly fiddly and time-consuming.</p>
<h2 data-start=""414"" data-end=""440""><img src=""https://cdn.cloudfastin.top/image/2211ce3d28498af942009d4a3fa6e357fea98fbf.webp""></h2>
<h2 data-start=""508"" data-end=""546"">The Easiest Way to Connect Cables</h2>
<p data-start=""548"" data-end=""631"">With these quick connectors you join cables without soldering and without special tools.</p>
<p data-start=""633"" data-end=""695"">Take the cable<br data-start=""649"" data-end=""652"">Insert it into the coupling<br data-start=""675"" data-end=""678"">Press down the lock<br>Hear the click</p>
<p data-start=""697"" data-end=""705"">Done.</p>
<p data-start=""707"" data-end=""773"">Perfect for LED lighting, low voltage and smaller electrical projects at home.</p>
<h2 data-start=""780"" data-end=""813""><img src=""https://cdn.cloudfastin.top/image/15468cc36dcbc7752ab75ae95210305ea600bb3f.webp""></h2>
<h2 data-start=""887"" data-end=""924"">Why More People Are Choosing This Solution</h2>
<p data-start=""926"" data-end=""1141"">Tool-free installation<br data-start=""950"" data-end=""953"">Quick and easy to use<br data-start=""980"" data-end=""983"">Stable, secure connection<br data-start=""1010"" data-end=""1013"">Transparent design so you can see the cable is seated correctly<br data-start=""1064"" data-end=""1067"">Can be opened and reused<br data-start=""1095"" data-end=""1098"">Suits low-voltage cables such as 12V and 24V</p>
<h2 data-start=""1148"" data-end=""1163""><img src=""https://cdn.shopify.com/s/files/1/1013/0322/2621/files/Namnlos_design_3.png?v=1774346105"" alt="""" width=""422"" height=""422""></h2>
<h2 data-start=""1148"" data-end=""1163"">Shop With Confidence - 30-Day Open Purchase</h2>",BeaverShop,,,FALSE,Title,Default Title,,,,,BEAVER-MISC-001,shopify,0,continue,manual,26.99,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/hf_20260225_044950_f4b13578-3e4b-41e0-b958-a9df3697b0df_1.jpg?v=1771995114,1,,FALSE,Beaver Coupling - Quick Cable Connectors,"Solder-free quick cable connectors for LED lighting and low-voltage projects. Tool-free, reusable and easy to install in seconds.",draft
beaver-coupling-no-more-fiddly-cable-lugs,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/hf_20260213_065138_00cc0c99-fc05-443f-8dc5-64b1d518fe47.png?v=1771995114,2,,,,,
beaver-coupling-no-more-fiddly-cable-lugs,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/90a2e327ac362261d79af16b7a4abc2e3a39ef9d-600_c5c2426f-de24-4485-b466-169f6eb38f5d.avif?v=1771995114,3,,,,,
beaver-lamp-pro,Beaver Lamp Pro,"<h2 data-start=""161"" data-end=""216"">No More Working in the Dark – Keep Both Hands Free</h2>
<p data-start=""218"" data-end=""401"">You know how it is. You're leaning over the engine bay, or crouched down in the boat fixing something that simply <em data-start=""324"" data-end=""331"">has</em> to be done. The light doesn't reach far enough. The torch is in the wrong place. Your phone dies.</p>
<p data-start=""403"" data-end=""424"">It shouldn't be like that.</p>
<p data-start=""426"" data-end=""573"">With the right head torch you work efficiently, see every detail and skip the frustration. No hassle. Just clear, steady light exactly where you need it.</p>
<h2 data-start=""580"" data-end=""637"">The Solution – Powerful, Lightweight and Built to Be Used</h2>
<p data-start=""639"" data-end=""773"">This rechargeable head torch gives you <strong data-start=""683"" data-end=""712"">wide 270° work lighting</strong> and a focused spotlight that reaches up to <strong data-start=""757"" data-end=""770"">200 metres</strong>.</p>
<p data-start=""775"" data-end=""789"">Whether you're:</p>
<ul data-start=""791"" data-end=""946"">
<li data-start=""791"" data-end=""822"">
<p data-start=""793"" data-end=""822"">Working on the car in the garage</p>
</li>
<li data-start=""823"" data-end=""855"">
<p data-start=""825"" data-end=""855"">Fixing electrics or the engine in the boat</p>
</li>
<li data-start=""856"" data-end=""881"">
<p data-start=""858"" data-end=""881"">Tinkering late at night</p>
</li>
<li data-start=""882"" data-end=""911"">
<p data-start=""884"" data-end=""911"">Working in tight spaces</p>
</li>
<li data-start=""912"" data-end=""946"">
<p data-start=""914"" data-end=""946"">Out camping or fishing</p>
</li>
</ul>
<p data-start=""948"" data-end=""978"">… you've got the right light, straight away.</p>
<p data-start=""980"" data-end=""1111"">It weighs just <strong data-start=""995"" data-end=""1007"">100 grams</strong> and sits comfortably thanks to soft silicone and an adjustable strap. You'll barely notice you're wearing it.</p>
<p data-start=""1113"" data-end=""1228"">And yes, you can switch it on and off with a wave of your hand in front of the light. Perfect when your hands are dirty.</p>
<h2 data-start=""1235"" data-end=""1266"">Features &amp; Specifications</h2>
<p data-start=""1268"" data-end=""1285""><strong data-start=""1268"" data-end=""1283"">Brightness:</strong></p>
<ul data-start=""1286"" data-end=""1413"">
<li data-start=""1286"" data-end=""1307"">
<p data-start=""1288"" data-end=""1307"">1500 lumens total</p>
</li>
<li data-start=""1308"" data-end=""1359"">
<p data-start=""1310"" data-end=""1359"">1000 lm from 3 COB LEDs (wide 270° lighting)</p>
</li>
<li data-start=""1360"" data-end=""1413"">
<p data-start=""1362"" data-end=""1413"">500 lm from XPE spotlight (up to 200 m range)</p>
</li>
</ul>
<p data-start=""1415"" data-end=""1433""><strong data-start=""1415"" data-end=""1431"">5 light modes:</strong></p>
<ul data-start=""1434"" data-end=""1535"">
<li data-start=""1434"" data-end=""1455"">
<p data-start=""1436"" data-end=""1455"">COB – full power</p>
</li>
<li data-start=""1456"" data-end=""1471"">
<p data-start=""1458"" data-end=""1471"">COB – medium</p>
</li>
<li data-start=""1472"" data-end=""1493"">
<p data-start=""1474"" data-end=""1493"">XPE – full power</p>
</li>
<li data-start=""1494"" data-end=""1509"">
<p data-start=""1496"" data-end=""1509"">XPE – medium</p>
</li>
<li data-start=""1510"" data-end=""1535"">
<p data-start=""1512"" data-end=""1535"">COB + XPE – flashing mode</p>
</li>
</ul>
<p data-start=""1537"" data-end=""1562""><strong data-start=""1537"" data-end=""1560"">Battery &amp; charging:</strong></p>
<ul data-start=""1563"" data-end=""1818"">
<li data-start=""1563"" data-end=""1604"">
<p data-start=""1565"" data-end=""1604"">Built-in 2200 mAh lithium battery (3.7V)</p>
</li>
<li data-start=""1605"" data-end=""1634"">
<p data-start=""1607"" data-end=""1634"">3–4 hours at full power</p>
</li>
<li data-start=""1635"" data-end=""1678"">
<p data-start=""1637"" data-end=""1678"">Up to 6 hours with normal use</p>
</li>
<li data-start=""1679"" data-end=""1721"">
<p data-start=""1681"" data-end=""1721"">Fast charging via USB-C (2.5–3 hours)</p>
</li>
<li data-start=""1722"" data-end=""1752"">
<p data-start=""1724"" data-end=""1752"">Red indicator while charging</p>
</li>
<li data-start=""1753"" data-end=""1789"">
<p data-start=""1755"" data-end=""1789"">Flashes red at low battery</p>
</li>
<li data-start=""1790"" data-end=""1818"">
<p data-start=""1792"" data-end=""1818"">Green light when fully charged</p>
</li>
</ul>
<p data-start=""1820"" data-end=""1833""><strong data-start=""1820"" data-end=""1831"">Other:</strong></p>
<ul data-start=""1834"" data-end=""2023"">
<li data-start=""1834"" data-end=""1884"">
<p data-start=""1836"" data-end=""1884"">Motion sensor (on/off with a hand wave at approx. 10 cm)</p>
</li>
<li data-start=""1885"" data-end=""1913"">
<p data-start=""1887"" data-end=""1913"">IP45 – withstands rain and moisture</p>
</li>
<li data-start=""1914"" data-end=""1945"">
<p data-start=""1916"" data-end=""1945"">Material: Flexible silicone</p>
</li>
<li data-start=""1946"" data-end=""1961"">
<p data-start=""1948"" data-end=""1961"">Colour: Black</p>
</li>
<li data-start=""1962"" data-end=""1997"">
<p data-start=""1964"" data-end=""1997"">Adjustable size – fits all</p>
</li>
<li data-start=""1998"" data-end=""2023"">
<p data-start=""2000"" data-end=""2023"">USB-C cable included</p>
</li>
</ul>
<h2 data-start=""2030"" data-end=""2064"">For Those Who Want to Work Smarter</h2>
<p data-start=""2066"" data-end=""2114"">This isn't a toy. It's a tool.</p>
<p data-start=""2116"" data-end=""2220"">With the right light you work faster, safer and more accurately. Less frustration. Better results.</p>
<p data-start=""2222"" data-end=""2314"">Perfect to keep in the car, boat, toolbox or garage – always ready when you need it.</p>
<h2 data-start=""2321"" data-end=""2356"">Buy With Confidence – 30-Day Return Guarantee</h2>
<p data-start=""2358"" data-end=""2465"">Try it yourself, no pressure.<br data-start=""2384"" data-end=""2387"">You have a <strong data-start=""2394"" data-end=""2417"">30-day return guarantee</strong> if it doesn't meet your expectations.</p>",BeaverShop,,,FALSE,Title,Default Title,,,,,BEAVER-MISC-002,shopify,0,continue,manual,14.99,22.99,TRUE,TRUE,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/3XKraftfulltLEDLjus.png?v=1772518783,1,,FALSE,Beaver Lamp Pro - Rechargeable LED Head Torch,"Rechargeable head torch with 270° work light, 200m spotlight and hands-free sensor control. Ideal for garage, boat and outdoor jobs.",draft
beaver-lamp-pro,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/WhatsAppImage2026-03-02at09.54.06_1.jpg?v=1772518783,2,,,,,
guarantee-for-secure-shipping,Guarantee for Secure Shipping,"<p>We guarantee secure shipping. If your item is damaged or lost in transit, you will be compensated.</p>",BeaverShop,,,FALSE,Title,Default Title,,,,,BEAVER-SERV-003,shopify,0,continue,manual,2.99,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/shipping-protection.png?v=1773908810,1,,FALSE,Shipping Protection Guarantee,"Add shipping protection to your order and get compensated if your parcel is damaged or lost in transit. Peace of mind, guaranteed.",draft
beaver-funnel-fast-spill-free-fuelling,"Beaver Funnel - Fast, Spill-Free Fuelling","<h1 class=""headline"">You spill<span> </span><span>fuel</span><br>every time.</h1>
<p class=""body-text"">You head out to the garage. Lift the canister. Hold the funnel with one hand. Pour. And then, spillage on the mower, fuel on your hand, the smell lingering for hours. Again.</p>
<p class=""body-text"">It's not you who's clumsy. It's the equipment that's badly designed.<br><br><img src=""https://cdn.shopify.com/s/files/1/1013/0322/2621/files/download_1.gif?v=1775203021"" alt=""""><br></p>
<h2 class=""solution-headline"">Snap it on.<br>Pour. Done.</h2>
<p class=""solution-body"">The Beaver Funnel snaps straight onto your fuel canister. It stays in place while you pour,<span> </span><span class=""solution-highlight"">no extra hand needed</span>. No wobbling. No spills. No swearing in the garage.</p>
<div>
<p class=""solution-body"">Three seconds to fit. One second to remove. Works with lawnmowers, chainsaws, strimmers, snow blowers, generators, the car and everything else you might need to fuel up!<br><br></p>
<div class=""step"">
<div class=""step-num"">1 Snap the funnel onto the canister → 2 Pour into the tank → 3 Clean fuelling, zero spills<br><br>
</div>
<div class=""step-num""><img src=""https://cdn.shopify.com/s/files/1/1013/0322/2621/files/download_2.gif?v=1775203714"" alt=""""></div>
<div class=""step-num"">
<br>
<h2>Built for the British Garage</h2>
<p class=""body-text"">Simple. Sturdy. Works straight away.</p>
<div class=""features-grid"">
<div class=""feature-card"">
<div class=""feature-icon""><svg fill=""none"" viewbox=""0 0 20 20"" height=""20"" width=""20""><path opacity=""0.8"" fill=""#C0432A"" d=""M10 2L12 8H18L13 12L15 18L10 14L5 18L7 12L2 8H8L10 2Z""></path></svg></div>
<div class=""feature-title"">Snap-on fit</div>
<div class=""feature-body"">Clicks onto the fuel canister and stays stable throughout the whole fill.</div>
</div>
<div class=""feature-card"">
<div class=""feature-icon""><svg fill=""none"" viewbox=""0 0 20 20"" height=""20"" width=""20""><circle stroke-width=""2"" stroke=""#C0432A"" r=""7"" cy=""10"" cx=""10""></circle><path stroke-linecap=""round"" stroke-width=""2"" stroke=""#C0432A"" d=""M10 6v4l3 3""></path></svg></div>
<div class=""feature-title"">Flexible spout</div>
<div class=""feature-body"">Bendable spout reaches into tight tank openings on lawnmowers and chainsaws.</div>
</div>
<div class=""feature-card"">
<div class=""feature-icon""><svg fill=""none"" viewbox=""0 0 20 20"" height=""20"" width=""20""><path stroke-linecap=""round"" stroke-width=""2"" stroke=""#C0432A"" d=""M10 3v14M3 10h14""></path></svg></div>
<div class=""feature-title"">Fits most canisters</div>
<div class=""feature-body"">Compatible with standard openings on the most common fuel canisters.</div>
</div>
<div class=""feature-card"">
<div class=""feature-icon""><svg fill=""none"" viewbox=""0 0 20 20"" height=""20"" width=""20""><path stroke-linejoin=""round"" stroke-linecap=""round"" stroke-width=""2"" stroke=""#C0432A"" d=""M4 16l3-6 3 4 3-8 3 10""></path></svg></div>
<div class=""feature-title"">Fuel-resistant plastic</div>
<div class=""feature-body"">Made from PP plastic that withstands prolonged contact with petrol, diesel and alkylate fuel.<br><br>
</div>
<div class=""feature-body""><img src=""https://cdn.shopify.com/s/files/1/1013/0322/2621/files/Namnlos_design_11.png?v=1775203792"" alt=""""></div>
<div class=""feature-body"">
<br>
<div class=""guarantee-title""><strong>30-Day Money-Back Guarantee!</strong></div>
<div class=""guarantee-text"">If the Beaver Funnel doesn't make fuelling easier and cleaner, return it and get your money back, no hassle. We're confident it solves the problem. That's why we can promise it.</div>
<br>
</div>
</div>
</div>
<br>
</div>
</div>
</div>",BeaverShop,,,FALSE,Colour,Red,,,,,BEAVER-MISC-004-1,shopify,0,continue,manual,10.99,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/Namnlosdesign_15.png?v=1775245506,1,,FALSE,Beaver Funnel - Spill-Free Fuel Funnel,"Snap-on fuel funnel for mowers, chainsaws and more. No spills, no extra hand needed - fuel up clean in seconds.",draft
beaver-funnel-fast-spill-free-fuelling,,,,,,,Colour,Blue,,,,,BEAVER-MISC-004-2,shopify,0,continue,manual,10.99,,TRUE,TRUE,,,,,,,
beaver-funnel-fast-spill-free-fuelling,,,,,,,Colour,Green,,,,,BEAVER-MISC-004-3,shopify,0,continue,manual,10.99,,TRUE,TRUE,,,,,,,
beaver-funnel-fast-spill-free-fuelling,,,,,,,Colour,White,,,,,BEAVER-MISC-004-4,shopify,0,continue,manual,10.99,,TRUE,TRUE,,,,,,,
