title,body,rating,review_date,reviewer_name,reviewer_email,product_id,product_handle,reply,picture_urls
"Bra koja","Enkel, praktisk och mysig för katten.","5","2026-09-08","Karin","","","utekattkojan","",""
"Bra koja","Skönt att katten har en torr plats ute.","5","2026-09-08","Erik","","","utekattkojan","",""
"Bra koja","Katten tycker mycket om den. Väldigt nöjd.","5","2026-09-08","Linda","","","utekattkojan","",""
"Bra koja","Bra kvalitet och enkel att sätta på plats.","5","2026-09-08","Anders","","","utekattkojan","",""
"Bra koja","Mysig liten koja som känns bra att ha ute.","5","2026-09-08","Sofia","","","utekattkojan","",""
"Bra koja","Katten har börjat sova i den varje dag.","5","2026-09-08","Emma","","","utekattkojan","",""
"Bra koja","Lätt att använda och lagom stor för katten.","5","2026-09-08","Johan","","","utekattkojan","",""
"Bra koja","Bra skydd mot vind och regn. Katten trivs.","5","2026-09-08","Maria","","","utekattkojan","",""
"Bra koja","En enkel och bra koja för katten ute.","5","2026-09-08","Lars","","","utekattkojan","",""
"Bra koja","Katten gillar den direkt. Känns varm och mysig.","5","2026-09-08","Anna","","","utekattkojan","",""
