title,body,rating,review_date,reviewer_name,reviewer_email,product_id,product_handle,reply,picture_urls
"","Praktiskt skydd mot sol och värme.","5","2026-09-15","Erik","","","termoskyddet","",""
"","Bra passform och känns stabilt.","5","2026-09-15","Karin","","","termoskyddet","",""
"","Skyddar bra och mörklägger fint.","5","2026-09-15","Sofia","","","termoskyddet","",""
"","Mycket nöjd. Enkel att montera.","5","2026-09-15","Per","","","termoskyddet","",""
"","Bra kvalitet och lätt att använda.","5","2026-09-15","Anders","","","termoskyddet","",""
"","Enkelt och praktiskt termoskydd.","5","2026-09-15","Emma","","","termoskyddet","",""
"","Skyddar bra mot sol och värme. Jag är nöjd.","5","2026-09-15","Lars","","","termoskyddet","",""
"","Bra skydd när husbilen står ute.","5","2026-09-15","Johan","","","termoskyddet","",""
"","Passar bra och är lätt att sätta på.","5","2026-09-15","Maria","","","termoskyddet","",""
"","Bra termoskydd som är enkelt att använda.","5","2026-09-15","Anna","","","termoskyddet","",""
